[ 35.1923726 , 33.3273606 ]
[ 35.1342857 , 33.3107068 ]
[ 35.1450625 , 33.3551818 ]
[ 35.1748284 , 33.3124707 ]
[ 35.1529251 , 33.2897616 ]
[ 35.0959336 , 33.3387466 ]
[ 35.0996787 , 33.3867349 ]
[ 35.074186 , 33.3067151 ]
[ 35.0585592 , 33.219373 ]
[ 35.111885 , 33.2558289 ]
[ 34.9913666 , 33.3955861 ]
[ 34.9555019 , 33.3847346 ]
[ 34.962332 , 33.3261579 ]
[ 34.9968629 , 33.3623489 ]
[ 35.0326546 , 33.1719556 ]
[ 35.0193656 , 33.1671088 ]
[ 35.0652139 , 33.1773805 ]
[ 34.9767705 , 33.2445098 ]
[ 34.9767705 , 33.2445098 ]
[ 52.3371564 , 21.0499516 ]
[ 52.3371564 , 21.0499516 ]
[ 52.3371564 , 21.0499516 ]
[ 35.0356089 , 33.2440678 ]
[ 35.0609153 , 33.2457775 ]
[ 35.0609153 , 33.2457775 ]
[ 35.0609153 , 33.2457775 ]
[ 35.0836442 , 33.2566445 ]
[ 35.0836442 , 33.2566445 ]
[ 35.0359701 , 33.9265706 ]
[ 35.0834204 , 33.8635824 ]
[ 34.9857651 , 33.9398967 ]
[ 35.0083582 , 33.8624558 ]
[ 35.0545589 , 33.8687082 ]
[ 34.6938819 , 33.0128631 ]
[ 35.0447389 , 33.7729684 ]
[ 34.9752096 , 33.7726809 ]
[ 35.0004541 , 33.8214986 ]
[ 34.9839531 , 33.6246661 ]
[ 34.9541762 , 33.5985132 ]
[ 35.0108809 , 33.5831045 ]
[ 34.9495243 , 33.50584 ]
[ 34.9834439 , 33.5867651 ]
[ 34.7633266 , 33.2235269 ]
[ 34.8694114 , 33.284373 ]
[ 34.8382233 , 33.3672481 ]
[ 34.8413036 , 33.2662312 ]
[ 34.7319042 , 33.3290739 ]
[ 34.7242468 , 33.2772606 ]
[ 34.8625766 , 33.3134813 ]
[ 34.7535014 , 33.3513377 ]
[ 34.919644 , 33.3897591 ]
[ 34.9016068 , 33.4109412 ]
[ 35.1327489 , 33.0661671 ]
[ 34.9873709 , 32.8935331 ]
[ 34.8879674 , 32.8420752 ]
[ 34.920645 , 32.9859774 ]
[ 34.9829374 , 32.7404648 ]
[ 34.9772308 , 32.8872934 ]
[ 34.9671343 , 32.8249689 ]
